2020/01/01,01,2020/01/09,2020/01/17
2020/01/01,02,2020/01/07,2020/01/15
2020/01/02,01,2020/01/10,2020/01/18
2020/01/02,02,2020/01/08,2020/01/16
2020/01/03,01,2020/01/11,2020/01/19
2020/01/03,02,2020/01/09,2020/01/17
2020/01/04,01,2020/01/12,2020/01/20
2020/01/04,02,2020/01/10,2020/01/18
2020/01/05,01,2020/01/13,2020/01/21
2020/01/05,02,2020/01/11,2020/01/19
2020/01/06,01,2020/01/14,2020/01/22
2020/01/06,02,2020/01/12,2020/01/20
2020/01/07,01,2020/01/15,2020/01/23
2020/01/07,02,2020/01/13,2020/01/21
2020/01/08,01,2020/01/16,2020/01/24
2020/01/08,02,2020/01/14,2020/01/22
2020/01/09,01,2020/01/17,2020/01/25
2020/01/09,02,2020/01/15,2020/01/23
2020/01/10,01,2020/01/18,2020/01/26
2020/01/10,02,2020/01/16,2020/01/24
2020/01/11,01,2020/01/19,2020/01/27
2020/01/11,02,2020/01/17,2020/01/25
2020/01/12,01,2020/01/20,2020/01/28
2020/01/12,02,2020/01/18,2020/01/26
2020/01/13,01,2020/01/21,2020/01/29
2020/01/13,02,2020/01/19,2020/01/27
2020/01/14,01,2020/01/22,2020/01/30
2020/01/14,02,2020/01/20,2020/01/28
2020/01/15,01,2020/01/23,2020/01/31
2020/01/15,02,2020/01/21,2020/01/29
2020/01/16,01,2020/01/24,2020/02/01
2020/01/16,02,2020/01/22,2020/01/30
2020/01/17,01,2020/01/25,2020/02/02
2020/01/17,02,2020/01/23,2020/01/31
2020/01/18,01,2020/01/26,2020/02/03
2020/01/18,02,2020/01/24,2020/02/01
2020/01/19,01,2020/01/27,2020/02/04
2020/01/19,02,2020/01/25,2020/02/02
2020/01/20,01,2020/01/28,2020/02/05
2020/01/20,02,2020/01/26,2020/02/03
2020/01/21,01,2020/01/29,2020/02/06
2020/01/21,02,2020/01/27,2020/02/04
2020/01/22,01,2020/01/30,2020/02/07
2020/01/22,02,2020/01/28,2020/02/05
2020/01/23,01,2020/01/31,2020/02/08
2020/01/23,02,2020/01/29,2020/02/06
2020/01/24,01,2020/02/01,2020/02/09
2020/01/24,02,2020/01/30,2020/02/07
2020/01/25,01,2020/02/02,2020/02/10
2020/01/25,02,2020/01/31,2020/02/08
2020/01/26,01,2020/02/03,2020/02/11
2020/01/26,02,2020/02/01,2020/02/09
2020/01/27,01,2020/02/04,2020/02/12
2020/01/27,02,2020/02/02,2020/02/10
2020/01/28,01,2020/02/05,2020/02/13
2020/01/28,02,2020/02/03,2020/02/11
2020/01/29,01,2020/02/06,2020/02/14
2020/01/29,02,2020/02/04,2020/02/12
2020/01/30,01,2020/02/07,2020/02/15
2020/01/30,02,2020/02/05,2020/02/13
2020/01/31,01,2020/02/08,2020/02/16
2020/01/31,02,2020/02/06,2020/02/14
2020/02/01,01,2020/02/09,2020/02/17
2020/02/01,02,2020/02/07,2020/02/15
2020/02/02,01,2020/02/10,2020/02/18
2020/02/02,02,2020/02/08,2020/02/16
2020/02/03,01,2020/02/11,2020/02/19
2020/02/03,02,2020/02/09,2020/02/17
2020/02/04,01,2020/02/12,2020/02/20
2020/02/04,02,2020/02/10,2020/02/18
2020/02/05,01,2020/02/13,2020/02/21
2020/02/05,02,2020/02/11,2020/02/19
2020/02/06,01,2020/02/14,2020/02/22
2020/02/06,02,2020/02/12,2020/02/20
2020/02/07,01,2020/02/15,2020/02/23
2020/02/07,02,2020/02/13,2020/02/21
2020/02/08,01,2020/02/16,2020/02/24
2020/02/08,02,2020/02/14,2020/02/22
2020/02/09,01,2020/02/17,2020/02/25
2020/02/09,02,2020/02/15,2020/02/23
2020/02/10,01,2020/02/18,2020/02/26
2020/02/10,02,2020/02/16,2020/02/24
2020/02/11,01,2020/02/19,2020/02/27
2020/02/11,02,2020/02/17,2020/02/25
2020/02/12,01,2020/02/20,2020/02/28
2020/02/12,02,2020/02/18,2020/02/26
2020/02/13,01,2020/02/21,2020/02/29
2020/02/13,02,2020/02/19,2020/02/27
2020/02/14,01,2020/02/22,2020/03/01
2020/02/14,02,2020/02/20,2020/02/28
2020/02/15,01,2020/02/23,2020/03/02
2020/02/15,02,2020/02/21,2020/02/29
2020/02/16,01,2020/02/24,2020/03/03
2020/02/16,02,2020/02/22,2020/03/01
2020/02/17,01,2020/02/25,2020/03/04
2020/02/17,02,2020/02/23,2020/03/02
2020/02/18,01,2020/02/26,2020/03/05
2020/02/18,02,2020/02/24,2020/03/03
2020/02/19,01,2020/02/27,2020/03/06
2020/02/19,02,2020/02/25,2020/03/04
2020/02/20,01,2020/02/28,2020/03/07
2020/02/20,02,2020/02/26,2020/03/05
2020/02/21,01,2020/02/29,2020/03/08
2020/02/21,02,2020/02/27,2020/03/06
2020/02/22,01,2020/03/01,2020/03/09
2020/02/22,02,2020/02/28,2020/03/07
2020/02/23,01,2020/03/02,2020/03/10
2020/02/23,02,2020/02/29,2020/03/08
2020/02/24,01,2020/03/03,2020/03/11
2020/02/24,02,2020/03/01,2020/03/09
2020/02/25,01,2020/03/04,2020/03/12
2020/02/25,02,2020/03/02,2020/03/10
2020/02/26,01,2020/03/05,2020/03/13
2020/02/26,02,2020/03/03,2020/03/11
2020/02/27,01,2020/03/06,2020/03/14
2020/02/27,02,2020/03/04,2020/03/12
2020/02/28,01,2020/03/07,2020/03/15
2020/02/28,02,2020/03/05,2020/03/13
2020/02/29,01,2020/03/08,2020/03/16
2020/02/29,02,2020/03/06,2020/03/14
2020/03/01,01,2020/03/09,2020/03/17
2020/03/01,02,2020/03/07,2020/03/15
2020/03/02,01,2020/03/10,2020/03/18
2020/03/02,02,2020/03/08,2020/03/16
2020/03/03,01,2020/03/11,2020/03/19
2020/03/03,02,2020/03/09,2020/03/17
2020/03/04,01,2020/03/12,2020/03/20
2020/03/04,02,2020/03/10,2020/03/18
2020/03/05,01,2020/03/13,2020/03/21
2020/03/05,02,2020/03/11,2020/03/19
2020/03/06,01,2020/03/14,2020/03/22
2020/03/06,02,2020/03/12,2020/03/20
2020/03/07,01,2020/03/15,2020/03/23
2020/03/07,02,2020/03/13,2020/03/21
2020/03/08,01,2020/03/16,2020/03/24
2020/03/08,02,2020/03/14,2020/03/22
2020/03/09,01,2020/03/17,2020/03/25
2020/03/09,02,2020/03/15,2020/03/23
2020/03/10,01,2020/03/18,2020/03/26
2020/03/10,02,2020/03/16,2020/03/24
2020/03/11,01,2020/03/19,2020/03/27
2020/03/11,02,2020/03/17,2020/03/25
2020/03/12,01,2020/03/20,2020/03/28
2020/03/12,02,2020/03/18,2020/03/26
2020/03/13,01,2020/03/21,2020/03/29
2020/03/13,02,2020/03/19,2020/03/27
2020/03/14,01,2020/03/22,2020/03/30
2020/03/14,02,2020/03/20,2020/03/28
2020/03/15,01,2020/03/23,2020/03/31
2020/03/15,02,2020/03/21,2020/03/29
2020/03/16,01,2020/03/24,2020/04/01
2020/03/16,02,2020/03/22,2020/03/30
2020/03/17,01,2020/03/25,2020/04/02
2020/03/17,02,2020/03/23,2020/03/31
2020/03/18,01,2020/03/26,2020/04/03
2020/03/18,02,2020/03/24,2020/04/01
2020/03/19,01,2020/03/27,2020/04/04
2020/03/19,02,2020/03/25,2020/04/02
2020/03/20,01,2020/03/28,2020/04/05
2020/03/20,02,2020/03/26,2020/04/03
2020/03/21,01,2020/03/29,2020/04/06
2020/03/21,02,2020/03/27,2020/04/04
2020/03/22,01,2020/03/30,2020/04/07
2020/03/22,02,2020/03/28,2020/04/05
2020/03/23,01,2020/03/31,2020/04/08
2020/03/23,02,2020/03/29,2020/04/06
2020/03/24,01,2020/04/01,2020/04/09
2020/03/24,02,2020/03/30,2020/04/07
2020/03/25,01,2020/04/02,2020/04/10
2020/03/25,02,2020/03/31,2020/04/08
2020/03/26,01,2020/04/03,2020/04/11
2020/03/26,02,2020/04/01,2020/04/09
2020/03/27,01,2020/04/04,2020/04/12
2020/03/27,02,2020/04/02,2020/04/10
2020/03/28,01,2020/04/05,2020/04/13
2020/03/28,02,2020/04/03,2020/04/11
2020/03/29,01,2020/04/06,2020/04/14
2020/03/29,02,2020/04/04,2020/04/12
2020/03/30,01,2020/04/07,2020/04/15
2020/03/30,02,2020/04/05,2020/04/13
2020/03/31,01,2020/04/08,2020/04/16
2020/03/31,02,2020/04/06,2020/04/14
